0.88	3.31328	4.52021	4.52021
1	9.13401	1.69349	1.69349
0.88	2.84231	1.23553	1.23553
1	7.69113	6.87866	6.87866
0.88	4.69665	3.18039	3.18039
1	4.90867	2.30179	2.30179
0.88	8.77709	2.36974	2.36974
1	8.22295	6.94846	6.94846
0.88	2.58952	5.41965	5.41965
1	0.188993	3.0982	3.0982
0.88	0.60448	4.31085	4.31085
1	5.66073	3.42719	3.42719
0.88	5.8987	4.5602	4.5602
1	8.85044	6.2737	6.2737
0.88	1.01806	2.23084	2.23084
1	5.16855	5.35199	5.35199
0.88	6.52409	6.80649	6.80649
1	7.71193	5.00578	5.00578
0.88	1.07983	5.63002	5.63002
1	1.76182	6.66703	6.66703
0.88	1.30603	3.869	3.869
1	6.97413	3.40844	3.40844
0.88	8.86468	2.03318	2.03318
1	6.61462	6.79348	6.79348
0.88	7.68234	1.99998	1.99998
1	2.96718	3.99947	3.99947
0.88	4.4003	0.1379	0.1379
1	6.63489	7.5752	7.5752
0.88	1.03713	8.05926	8.05926
1	2.8245	2.05237	2.05237
0.88	0.521036	0.843294	0.843294
1	1.20661	5.5995	5.5995
0.88	1.35463	0.497667	0.497667
1	1.53021	9.16703	9.16703
0.88	0.777601	2.62923	2.62923
1	0.912935	9.10302	9.10302
0.88	7.88531	2.20886	2.20886
1	2.50431	2.9916	2.9916
0.88	7.08076	6.3063	6.3063
1	2.84118	6.5572	6.5572
0.88	5.85437	4.18981	4.18981
1	8.6269	5.86197	5.86197
0.88	7.69307	6.01352	6.01352
1	2.48558	4.41457	4.41457
0.88	8.51515	4.72925	4.72925
1	0.317964	9.39117	9.39117
0.88	7.13388	9.04847	9.04847
1	6.25141	2.71809	2.71809
0.88	3.7981	3.25772	3.25772
1	2.59551	0.0580278	0.0580278
0.88	2.84781	7.62208	7.62208
1	2.64545	2.4923	2.4923
0.88	7.94752	6.27135	6.27135
1	3.76895	1.3895	1.3895
0.88	9.23088	0.573041	0.573041
1	5.21243	9.03302	9.03302
0.88	7.23811	7.00429	7.00429
1	0.559904	4.18304	4.18304
0.88	7.62772	0.529482	0.529482
1	5.93449	8.7016	8.7016
0.88	5.68244	1.0836	1.0836
1	4.46585	6.76537	6.76537
0.88	1.25143	8.801	8.801
1	0.973678	3.34051	3.34051
0.88	7.24605	7.90713	7.90713
1	5.77274	8.86104	8.86104
0.88	4.99968	6.32339	6.32339
1	1.92345	8.65136	8.65136
0.88	9.02622	6.55361	6.55361
1	4.68919	9.36757	9.36757
0.88	8.46419	8.33505	8.33505
1	9.10636	7.98563	7.98563
0.88	1.6501	7.90417	7.90417
1	5.41551	8.46565	8.46565
0.88	7.55074	4.31824	4.31824
1	1.10967	0.0203461	0.0203461
0.88	5.15511	2.0749	2.0749
1	3.86269	4.12546	4.12546
0.88	6.67902	6.1215	6.1215
1	7.04616	8.52237	8.52237
0.88	1.83341	5.73931	5.73931
1	6.81113	3.33465	3.33465
0.88	1.75952	6.80717	6.80717
1	4.94684	7.99213	7.99213
0.88	3.8434	6.58595	6.58595
1	5.02883	3.15001	3.15001
0.88	6.96235	7.45277	7.45277
1	3.83202	6.7133	6.7133
0.88	5.14228	2.83738	2.83738
1	3.25584	4.93139	4.93139
0.88	2.4566	6.68337	6.68337
1	6.04071	3.33242	3.33242
0.88	8.78351	8.09526	8.09526
1	4.74832	2.44004	2.44004
0.88	2.37151	7.04853	7.04853
1	4.90698	5.49658	5.49658
0.88	2.43805	2.42028	2.42028
1	3.86431	8.82308	8.82308
0.88	6.28775	8.78027	8.78027
1	0.260391	4.52725	4.52725
0.88	5.42092	7.48749	7.48749
1	3.62294	2.55763	2.55763
0.88	8.06101	3.82758	3.82758
1	2.99929	8.36422	8.36422
0.88	3.15717	4.55964	4.55964
1	7.09996	2.89181	2.89181
0.88	7.61898	7.49558	7.49558
1	3.10087	3.53956	3.53956
0.88	1.0873	5.63196	5.63196
1	9.0605	7.26906	7.26906
0.88	1.8263	1.03605	1.03605
1	3.52372	0.260035	0.260035
0.88	6.38028	4.64783	4.64783
1	5.03723	4.25839	4.25839
0.88	7.6305	8.52665	8.52665
1	1.14196	2.4906	2.4906
0.88	7.76931	1.37725	1.37725
1	8.16757	9.02925	9.02925
0.88	6.71393	1.64276	1.64276
1	5.67509	2.57687	2.57687
0.88	4.54474	4.62824	4.62824
1	2.35942	1.88302	1.88302
0.88	8.6829	7.54057	7.54057
1	1.99958	3.27082	3.27082
0.88	4.62828	4.06464	4.06464
1	8.13841	1.79571	1.79571
0.88	3.15656	2.78528	2.78528
1	3.05562	3.03401	3.03401
0.88	5.6372	8.34271	8.34271
1	3.01011	3.80744	3.80744
0.88	3.59748	1.90451	1.90451
1	8.65993	9.29216	9.29216
0.88	1.40105	3.85062	3.85062
1	5.49068	0.960189	0.960189
0.88	4.10474	7.55841	7.55841
1	8.78718	6.40304	6.40304
0.88	3.19956	3.98446	3.98446
1	1.96537	3.18138	3.18138
0.88	2.3786	3.30929	3.30929
1	8.82625	5.07745	5.07745
0.88	2.34158	4.15716	4.15716
1	9.40697	8.36116	8.36116
0.88	5.16759	3.76454	3.76454
1	4.56301	6.07319	6.07319
0.88	0.51148	1.16598	1.16598
1	1.39474	2.76165	2.76165
0.88	8.31197	7.09562	7.09562
1	2.45401	4.5409	4.5409
0.88	0.0777702	6.75272	6.75272
1	7.30793	4.7724	4.7724
0.88	9.36557	6.48581	6.48581
1	1.45522	5.4729	5.4729
0.88	2.60863	8.80919	8.80919
1	8.58509	0.342411	0.342411
0.88	5.68195	6.33965	6.33965
1	8.28169	0.984866	0.984866
0.88	1.11421	4.77585	4.77585
1	7.52232	3.66057	3.66057
0.88	4.24588	5.3046	5.3046
1	3.1915	3.81248	3.81248
0.88	8.81479	2.69687	2.69687
1	8.21356	3.84365	3.84365
0.88	6.07582	2.41425	2.41425
1	6.6017	3.62686	3.62686
0.88	6.29564	2.07066	2.07066
1	7.58131	4.17191	4.17191
0.88	3.03297	4.86831	4.86831
1	0.63325	4.92306	4.92306
0.88	4.52982	8.69403	8.69403
1	5.43979	7.11433	7.11433
0.88	0.545378	4.3321	4.3321
1	0.999574	8.0978	8.0978
0.88	2.5035	8.80511	8.80511
1	6.66713	0.139622	0.139622
0.88	3.32177	1.23344	1.23344
1	5.38947	7.08445	7.08445
0.88	5.39105	5.47386	5.47386
1	7.23413	1.64674	1.64674
0.88	3.72819	0.681798	0.681798
1	8.10468	4.43035	4.43035
0.88	6.50465	4.78404	4.78404
1	4.57691	3.37736	3.37736
0.88	3.17617	2.9325	2.9325
1	2.52934	8.15848	8.15848
0.88	4.28643	8.00752	8.00752
1	5.14865	0.632862	0.632862
0.88	7.72339	3.23686	3.23686
1	5.92015	9.21071	9.21071
0.88	0.360944	2.8045	2.8045
1	7.21775	7.04927	7.04927
0.88	3.19133	9.24765	9.24765
1	8.82575	1.67273	1.67273
0.88	8.88393	1.40928	1.40928
1	0.300901	2.58324	2.58324
0.88	0.234455	7.53166	7.53166
1	2.63326	1.55817	1.55817
0.88	6.20953	6.73439	6.73439
1	3.86631	1.41554	1.41554
0.88	7.3127	8.09177	8.09177
1	3.44706	3.26743	3.26743
0.88	6.38558	4.04392	4.04392
1	3.14293	0.313274	0.313274
0.88	2.34295	3.82808	3.82808
1	2.70832	3.0501	3.0501
0.88	1.83746	9.16721	9.16721
1	7.95066	7.92931	7.92931
0.88	5.57349	0.603864	0.603864
1	5.31829	6.87839	6.87839
0.88	4.13839	6.45554	6.45554
1	7.45847	5.78984	5.78984
0.88	7.25897	5.57445	5.57445
1	7.85217	7.61669	7.61669
0.88	1.9645	2.7693	2.7693
1	2.95542	8.44423	8.44423
0.88	4.63631	6.30255	6.30255
1	2.18928	0.326445	0.326445
0.88	2.56011	1.16704	1.16704
1	1.78253	3.91119	3.91119
0.88	0.642453	2.87418	2.87418
1	5.88003	6.25481	6.25481
0.88	0.786206	1.73172	1.73172
1	9.04755	2.702	2.702
0.88	6.11182	7.23972	7.23972
1	5.81077	2.55179	2.55179
0.88	1.86983	6.01733	6.01733
1	1.25822	6.93663	6.93663
0.88	0.462942	7.4535	7.4535
1	6.58701	5.76272	5.76272
0.88	5.1343	0.0241643	0.0241643
1	7.37294	2.44895	2.44895
0.88	4.51942	1.36463	1.36463
1	8.86725	0.248604	0.248604
0.88	2.04965	2.47355	2.47355
1	8.28519	0.72467	0.72467
0.88	4.53054	5.77204	5.77204
1	2.67941	9.17358	9.17358
0.88	3.28841	7.02412	7.02412
1	6.0081	2.95702	2.95702
0.88	7.47789	3.8107	3.8107
1	3.57354	3.72016	3.72016
0.88	0.261958	9.09599	9.09599
1	4.79859	5.92914	5.92914
0.88	0.523171	8.07904	8.07904
1	8.84598	6.17534	6.17534
0.88	4.21932	6.97332	6.97332
1	5.84299	7.77137	7.77137
0.88	0.291644	7.26703	7.26703
1	6.71422	1.78271	1.78271
0.88	0.659353	9.13956	9.13956
1	0.21211	8.23659	8.23659
0.88	5.55499	5.01546	5.01546
1	4.56355	5.3196	5.3196
0.88	1.50723	0.334783	0.334783
1	5.85142	6.08653	6.08653
0.88	5.13624	2.54027	2.54027
1	0.0247659	7.42067	7.42067
0.88	6.90126	6.07156	6.07156
1	3.92065	2.46367	2.46367
1	5.9859	1.67361	1.67361
1	7.92961	6.60557	6.60557
1	0.118371	7.46475	7.46475
1	5.44829	1.38086	1.38086
1	1.35005	0.3329	0.3329
1	5.94608	7.17918	7.17918
1	1.2192	2.79484	2.79484
1	6.03154	5.71069	5.71069
1	2.8527	7.25915	7.25915
1	2.71398	1.31843	1.31843
1	8.33469	7.49984	7.49984
1	4.48651	6.99227	6.99227
1	7.01789	3.64502	3.64502
1	2.01801	7.38226	7.38226
1	5.14439	5.05379	5.05379
1	2.11249	0.97471	0.97471
1	4.6834	1.39065	1.39065
1	7.37492	1.35696	1.35696
1	7.27913	8.71749	8.71749
1	6.97943	6.20064	6.20064
1	7.62153	0.792235	0.792235
1	3.23279	8.38187	8.38187
1	8.97212	1.17678	1.17678
1	6.84572	8.50157	8.50157
1	8.17552	2.91471	2.91471
1	7.89206	6.88457	6.88457
1	4.54794	7.78661	7.78661
1	5.51569	9.00189	9.00189
1	4.13118	2.62315	2.62315
1	5.92061	4.91366	4.91366
1	0.529482	0.312426	0.312426
1	5.20393	8.50979	8.50979
1	3.75581	5.97132	5.97132
1	3.06951	6.45714	6.45714
1	0.340856	0.11305	0.11305
1	7.45091	2.87843	2.87843
1	3.26991	2.10709	2.10709
1	8.93174	8.45388	8.45388
1	7.75119	5.42474	5.42474
1	4.19904	5.0791	5.0791
1	3.36706	4.83721	4.83721
1	8.2639	6.77064	6.77064
1	3.95044	4.24641	4.24641
1	1.29305	1.60838	1.60838
1	5.5682	3.9771	3.9771
1	1.76767	7.83536	7.83536
1	8.26443	5.44602	5.44602
1	9.09024	3.62875	3.62875
1	8.73549	8.22413	8.22413
1	6.04272	4.05765	4.05765
1	6.0348	2.93134	2.93134
1	3.22723	2.06886	2.06886
1	4.38105	1.4274	1.4274
1	8.11642	8.44537	8.44537
1	4.0067	9.04402	9.04402
1	1.81191	5.19829	5.19829
1	2.6595	7.80768	7.80768
1	8.96278	2.93709	2.93709
1	2.89294	1.68955	1.68955
1	6.38174	0.192891	0.192891
1	5.22493	5.5686	5.5686
1	7.64546	1.37547	1.37547
1	1.47205	8.34558	8.34558
1	9.3278	2.00505	2.00505
1	1.16118	4.84138	4.84138
1	9.23705	4.20809	4.20809
1	4.29228	2.28285	2.28285
1	8.34372	4.6699	4.6699
1	2.07495	2.01998	2.01998
1	8.86659	2.76808	2.76808
1	8.64815	4.29801	4.29801
1	8.08968	2.08922	2.08922
1	7.63972	6.80959	6.80959
1	7.94236	7.6081	7.6081
1	6.27005	5.44043	5.44043
1	8.37552	0.881435	0.881435
1	0.240865	2.44212	2.44212
1	2.47894	4.61171	4.61171
1	6.1078	3.03353	3.03353
1	0.395541	6.54235	6.54235
1	4.54106	3.22916	3.22916
1	7.53727	0.265653	0.265653
